3,1,0.22,Windsor Locks,Connecticut,6096,1063,204900
3,1,0.34,Enfield,Connecticut,6082,1008,225000
4,2,0.07,Winchester,Connecticut,6098,1334,199900
5,2,0.64,Suffield,Connecticut,6078,1894,445000
5,2,0.17,Enfield,Connecticut,6082,1980,289000
4,4,22.33,Norfolk,Connecticut,6058,3756,1350000
3,2,0.75,North Canaan,Connecticut,6018,2219,420000
3,1,1.33,North Canaan,Connecticut,6024,2066,260000
3,3,3.1,Barkhamsted,Connecticut,6063,2621,479900
3,3,1.35,Suffield,Connecticut,6093,3340,459900
3,2,0.73,Enfield,Connecticut,6082,972,224000
5,3,0.29,Windsor Locks,Connecticut,6096,2873,259900
3,1,0.25,Suffield,Connecticut,6078,1101,210000
4,4,2,Granby,Connecticut,6060,2371,475000
3,2,1.36,East Granby,Connecticut,6026,1692,349900
3,1,0.26,Winchester,Connecticut,6098,1040,169900
3,2,0.18,Enfield,Connecticut,6082,1170,229900
4,3,2.98,Norfolk,Connecticut,6058,2755,985000
4,1,0.11,Enfield,Connecticut,6082,1260,199900
4,2,0.48,Windsor Locks,Connecticut,6096,960,269900
3,1,0.29,Enfield,Connecticut,6082,1008,239900
3,2,2.85,Suffield,Connecticut,6093,2184,559000
3,2,0.61,Windsor,Connecticut,6095,1746,230000
3,2,0.83,East Granby,Connecticut,6026,1656,259700
3,1,0.34,Enfield,Connecticut,6082,1252,234900
3,1,0.62,Granby,Connecticut,6035,1008,239900
4,2,0.34,Simsbury,Connecticut,6081,1226,319700
4,3,9,Norfolk,Connecticut,6058,3082,1050000
4,3,0.69,Simsbury,Connecticut,6070,2414,434900
4,4,0.72,Suffield,Connecticut,6078,2736,629900
5,2,0.06,Enfield,Connecticut,6082,1824,229900
4,2,0.37,Windsor Locks,Connecticut,6096,1825,99900
3,1,0.57,Enfield,Connecticut,6082,961,99900
5,3,0.5,East Windsor,Connecticut,6088,4110,194000
4,2,0.31,Windsor Locks,Connecticut,6096,1584,199900
5,3,0.52,Winchester,Connecticut,6098,3117,299900
3,1,0.16,Enfield,Connecticut,6082,1008,125000
6,2,0.14,Enfield,Connecticut,6082,2676,166259
3,3,1.07,Suffield,Connecticut,6078,1630,419900
2,2,0.29,Enfield,Connecticut,6082,1056,199900
3,1,0.06,Winchester,Connecticut,6098,1063,139900
4,2,0.22,Enfield,Connecticut,6082,1536,245000
4,2,0.19,Enfield,Connecticut,6082,1982,269900
2,1,0.16,Windsor Locks,Connecticut,6096,1350,219900
